Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adult Families in Shelter,Individuals in Adult Families in Shelter
01-Jan-18,37388,22711,60099,10644,4039,14683,12721,2516,5309
02-Jan-18,38059,22970,61029,10997,4128,15125,12894,2512,5298
03-Jan-18,37732,22652,60384,11038,4127,15165,12730,2462,5206
04-Jan-18,37447,22382,59829,11134,4089,15223,12565,2423,5117
05-Jan-18,37392,22116,59508,11183,4141,15324,12436,2399,5073
06-Jan-18,36878,21815,58693,11023,4158,15181,12266,2383,5039
07-Jan-18,37131,21819,58950,11079,4195,15274,12320,2425,5135
08-Jan-18,37120,21749,58869,11035,4262,15297,12325,2424,5146
09-Jan-18,37491,22113,59604,11051,4286,15337,12552,2482,5274
10-Jan-18,38015,22376,60391,11280,4363,15643,12660,2518,5349
11-Jan-18,38273,22523,60796,11433,4401,15834,12741,2548,5392
12-Jan-18,38269,22450,60719,11550,4425,15975,12714,2517,5326
13-Jan-18,37467,22710,60177,10723,4058,14781,12716,2496,5266
14-Jan-18,37641,22760,60401,10807,4082,14889,12759,2500,5276
15-Jan-18,37667,22813,60480,10774,4110,14884,12777,2505,5287
16-Jan-18,37655,22786,60441,10792,4092,14884,12771,2504,5286
17-Jan-18,37718,22813,60531,10805,4115,14920,12793,2506,5287
18-Jan-18,37777,22783,60560,10812,4150,14962,12775,2530,5336
19-Jan-18,37742,22795,60537,10792,4136,14928,12801,2519,5314
20-Jan-18,37742,22888,60630,10782,4104,14886,12848,2511,5300
21-Jan-18,37829,22874,60703,10834,4124,14958,12847,2511,5300
22-Jan-18,37823,22824,60647,10877,4123,15000,12817,2511,5296
23-Jan-18,37852,22880,60732,10883,4137,15020,12835,2502,5279
24-Jan-18,37891,22904,60795,10893,4138,15031,12856,2513,5299
25-Jan-18,37926,22919,60845,10920,4126,15046,12874,2505,5284
26-Jan-18,37916,22927,60843,10905,4122,15027,12876,2505,5294
27-Jan-18,37875,22922,60797,10902,4114,15016,12874,2494,5268
28-Jan-18,37931,22930,60861,10939,4120,15059,12883,2493,5269
29-Jan-18,37973,22930,60903,10913,4145,15058,12870,2516,5313
30-Jan-18,38009,22906,60915,10976,4143,15119,12853,2515,5310
31-Jan-18,38088,22950,61038,10989,4150,15139,12878,2524,5330
01-Feb-18,37444,22682,60126,10695,4064,14759,12706,2516,5308
